"","celltype"
"cell_44345",NA
"cell_44346","ExE endoderm"
"cell_44347","ExE endoderm"
"cell_44348","Paraxial mesoderm"
"cell_44349","ExE endoderm"
"cell_44350","ExE endoderm"
"cell_44351","Mesenchyme"
"cell_44352",NA
"cell_44353","ExE endoderm"
"cell_44354","Mesenchyme"
"cell_44355","Intermediate mesoderm"
"cell_44356","Epiblast"
"cell_44357","Gut"
"cell_44358","Caudal epiblast"
"cell_44359","Mixed mesoderm"
"cell_44360","ExE ectoderm"
"cell_44361",NA
"cell_44362","Visceral endoderm"
"cell_44363","Intermediate mesoderm"
"cell_44364",NA
"cell_44365","ExE ectoderm"
"cell_44366","Epiblast"
"cell_44367","ExE ectoderm"
"cell_44368","Visceral endoderm"
"cell_44369","Epiblast"
"cell_44370","PGC"
"cell_44371","Intermediate mesoderm"
"cell_44372","ExE ectoderm"
"cell_44373","Haematoendothelial progenitors"
"cell_44374","Nascent mesoderm"
"cell_44375",NA
"cell_44376","Pharyngeal mesoderm"
"cell_44377","Rostral neurectoderm"
"cell_44378","ExE ectoderm"
"cell_44379","ExE ectoderm"
"cell_44380","Mesenchyme"
"cell_44381","ExE mesoderm"
"cell_44382","Epiblast"
"cell_44383",NA
"cell_44384","PGC"
"cell_44385","Caudal epiblast"
"cell_44386",NA
"cell_44387","Nascent mesoderm"
"cell_44388",NA
"cell_44389","ExE endoderm"
"cell_44390","ExE endoderm"
"cell_44391","Epiblast"
"cell_44392","Rostral neurectoderm"
"cell_44393","Primitive Streak"
"cell_44394","Nascent mesoderm"
"cell_44395",NA
"cell_44396","Def. endoderm"
"cell_44397","Nascent mesoderm"
"cell_44398","ExE ectoderm"
"cell_44399","Primitive Streak"
"cell_44400","Rostral neurectoderm"
"cell_44401",NA
"cell_44402","Mesenchyme"
"cell_44403","ExE endoderm"
"cell_44404","ExE endoderm"
"cell_44405",NA
"cell_44406","Rostral neurectoderm"
"cell_44407","Primitive Streak"
"cell_44408","Nascent mesoderm"
"cell_44409","Epiblast"
"cell_44410","Haematoendothelial progenitors"
"cell_44411","ExE endoderm"
"cell_44412",NA
"cell_44413","ExE endoderm"
"cell_44414","Mixed mesoderm"
"cell_44415","ExE endoderm"
"cell_44416","Rostral neurectoderm"
"cell_44417","Mesenchyme"
"cell_44418",NA
"cell_44419",NA
"cell_44420","ExE ectoderm"
"cell_44421","ExE ectoderm"
"cell_44422","Primitive Streak"
"cell_44423","Blood progenitors 2"
"cell_44424","Caudal epiblast"
"cell_44425","Mesenchyme"
"cell_44426","Mesenchyme"
"cell_44427","ExE ectoderm"
"cell_44428","Caudal epiblast"
"cell_44429","Rostral neurectoderm"
"cell_44430","Epiblast"
"cell_44431","Epiblast"
"cell_44432","Rostral neurectoderm"
"cell_44433","Caudal epiblast"
"cell_44434","Blood progenitors 1"
"cell_44435","ExE ectoderm"
"cell_44436","Mixed mesoderm"
"cell_44437","ExE ectoderm"
"cell_44438","ExE endoderm"
"cell_44439","Blood progenitors 1"
"cell_44440","Haematoendothelial progenitors"
"cell_44441","ExE ectoderm"
"cell_44442",NA
"cell_44443","Epiblast"
"cell_44444","Visceral endoderm"
"cell_44445","ExE endoderm"
"cell_44446","Visceral endoderm"
"cell_44447",NA
"cell_44448","ExE endoderm"
"cell_44449","Blood progenitors 1"
"cell_44450","Blood progenitors 2"
"cell_44451","Anterior Primitive Streak"
"cell_44452","Epiblast"
"cell_44453","ExE ectoderm"
"cell_44454","Epiblast"
"cell_44455",NA
"cell_44456","ExE ectoderm"
"cell_44457","Rostral neurectoderm"
"cell_44458","ExE ectoderm"
"cell_44459","Epiblast"
"cell_44460",NA
"cell_44461","Blood progenitors 2"
"cell_44462","ExE ectoderm"
"cell_44463","Epiblast"
"cell_44464","Caudal epiblast"
"cell_44465","Rostral neurectoderm"
"cell_44466","Mixed mesoderm"
"cell_44467",NA
"cell_44468","Somitic mesoderm"
"cell_44469","ExE endoderm"
"cell_44470","ExE ectoderm"
"cell_44471","ExE endoderm"
"cell_44472","Mesenchyme"
"cell_44473","Mixed mesoderm"
"cell_44474","Def. endoderm"
"cell_44475","Primitive Streak"
"cell_44476","Rostral neurectoderm"
"cell_44477","Rostral neurectoderm"
"cell_44478","Paraxial mesoderm"
"cell_44479","Caudal epiblast"
"cell_44480",NA
"cell_44481","Rostral neurectoderm"
"cell_44482","ExE endoderm"
"cell_44483","ExE endoderm"
"cell_44484","ExE endoderm"
"cell_44485","Rostral neurectoderm"
"cell_44486","Intermediate mesoderm"
"cell_44487","Rostral neurectoderm"
"cell_44488","ExE endoderm"
"cell_44489","ExE endoderm"
"cell_44490","Surface ectoderm"
"cell_44491","Epiblast"
"cell_44492",NA
"cell_44493","Paraxial mesoderm"
"cell_44494","ExE ectoderm"
"cell_44495","Mesenchyme"
"cell_44496","Rostral neurectoderm"
"cell_44497","Blood progenitors 1"
"cell_44498","ExE endoderm"
"cell_44499","ExE endoderm"
"cell_44500","Nascent mesoderm"
"cell_44501","Rostral neurectoderm"
"cell_44502","Caudal epiblast"
"cell_44503","Epiblast"
"cell_44504","Def. endoderm"
"cell_44505","ExE endoderm"
"cell_44506","Pharyngeal mesoderm"
"cell_44507","Mixed mesoderm"
"cell_44508","Rostral neurectoderm"
"cell_44509","ExE ectoderm"
"cell_44510",NA
"cell_44511","ExE ectoderm"
"cell_44512","ExE mesoderm"
"cell_44513","Primitive Streak"
"cell_44514","Epiblast"
"cell_44515","ExE endoderm"
"cell_44516","ExE endoderm"
"cell_44517","ExE ectoderm"
"cell_44518","Mesenchyme"
"cell_44519","ExE mesoderm"
"cell_44520","ExE endoderm"
"cell_44521",NA
"cell_44522","Nascent mesoderm"
"cell_44523","ExE ectoderm"
"cell_44524",NA
"cell_44525","Nascent mesoderm"
"cell_44526","ExE ectoderm"
"cell_44527","Def. endoderm"
"cell_44528","ExE ectoderm"
"cell_44529","Mesenchyme"
"cell_44530","Rostral neurectoderm"
"cell_44531",NA
"cell_44532","Epiblast"
"cell_44533","Mixed mesoderm"
"cell_44534","Gut"
"cell_44535","Mesenchyme"
"cell_44536",NA
"cell_44537","ExE ectoderm"
"cell_44538","Gut"
"cell_44539","Rostral neurectoderm"
"cell_44540",NA
"cell_44541","ExE ectoderm"
"cell_44542","Primitive Streak"
"cell_44543","Epiblast"
"cell_44544","ExE ectoderm"
"cell_44545","ExE endoderm"
"cell_44546","ExE ectoderm"
"cell_44547",NA
"cell_44548",NA
"cell_44549","ExE endoderm"
"cell_44550","ExE ectoderm"
"cell_44551","ExE mesoderm"
"cell_44552","ExE endoderm"
"cell_44553","ExE ectoderm"
"cell_44554","ExE ectoderm"
"cell_44555","Pharyngeal mesoderm"
"cell_44556","Rostral neurectoderm"
"cell_44557","Def. endoderm"
"cell_44558","Haematoendothelial progenitors"
"cell_44559",NA
"cell_44560","Rostral neurectoderm"
"cell_44561",NA
"cell_44562","Epiblast"
"cell_44563","Rostral neurectoderm"
"cell_44564","Haematoendothelial progenitors"
"cell_44565","Primitive Streak"
"cell_44566",NA
"cell_44567","ExE endoderm"
"cell_44568",NA
"cell_44569","Mesenchyme"
"cell_44570","ExE ectoderm"
"cell_44571","PGC"
"cell_44572","ExE endoderm"
"cell_44573","ExE endoderm"
"cell_44574",NA
"cell_44575",NA
"cell_44576","Caudal epiblast"
"cell_44577","Epiblast"
"cell_44578","Caudal neurectoderm"
"cell_44579",NA
"cell_44580",NA
"cell_44581","Rostral neurectoderm"
"cell_44582","Rostral neurectoderm"
"cell_44583","Primitive Streak"
"cell_44584","Epiblast"
"cell_44585","Blood progenitors 1"
"cell_44586",NA
"cell_44587","Nascent mesoderm"
"cell_44588","Def. endoderm"
"cell_44589",NA
"cell_44590",NA
"cell_44591","ExE ectoderm"
"cell_44592","Rostral neurectoderm"
"cell_44593",NA
"cell_44594","ExE ectoderm"
"cell_44595","Blood progenitors 1"
"cell_44596","ExE endoderm"
"cell_44597","ExE ectoderm"
"cell_44598","Caudal epiblast"
"cell_44599","Visceral endoderm"
"cell_44600","Blood progenitors 2"
"cell_44601","ExE endoderm"
"cell_44602","Somitic mesoderm"
"cell_44603","ExE endoderm"
"cell_44604",NA
"cell_44605","ExE ectoderm"
"cell_44606","Visceral endoderm"
"cell_44607","ExE ectoderm"
"cell_44608","ExE endoderm"
"cell_44609","Intermediate mesoderm"
"cell_44610","Rostral neurectoderm"
"cell_44611","Def. endoderm"
"cell_44612","ExE endoderm"
"cell_44613",NA
"cell_44614","Epiblast"
"cell_44615","ExE endoderm"
"cell_44616","Intermediate mesoderm"
"cell_44617",NA
"cell_44618","ExE ectoderm"
"cell_44619","Nascent mesoderm"
"cell_44620","ExE endoderm"
"cell_44621","Surface ectoderm"
"cell_44622","ExE endoderm"
"cell_44623","ExE endoderm"
"cell_44624","ExE ectoderm"
"cell_44625","Visceral endoderm"
"cell_44626",NA
"cell_44627","ExE mesoderm"
"cell_44628","Haematoendothelial progenitors"
"cell_44629","Anterior Primitive Streak"
"cell_44630","Rostral neurectoderm"
"cell_44631",NA
"cell_44632","Haematoendothelial progenitors"
"cell_44633","ExE ectoderm"
"cell_44634","Nascent mesoderm"
"cell_44635","ExE ectoderm"
"cell_44636",NA
"cell_44637","ExE ectoderm"
"cell_44638","Mesenchyme"
"cell_44639","Rostral neurectoderm"
"cell_44640","ExE ectoderm"
"cell_44641","Primitive Streak"
"cell_44642","Rostral neurectoderm"
"cell_44643","Epiblast"
"cell_44644","Rostral neurectoderm"
"cell_44645",NA
"cell_44646","Primitive Streak"
"cell_44647","Def. endoderm"
"cell_44648","ExE endoderm"
"cell_44649","Haematoendothelial progenitors"
"cell_44650",NA
"cell_44651","Blood progenitors 2"
"cell_44652","ExE ectoderm"
"cell_44653","Haematoendothelial progenitors"
"cell_44654","Caudal epiblast"
"cell_44655","ExE ectoderm"
"cell_44656","Surface ectoderm"
"cell_44657","Epiblast"
"cell_44658","Nascent mesoderm"
"cell_44659",NA
"cell_44660","Epiblast"
"cell_44661","Blood progenitors 2"
"cell_44662","Visceral endoderm"
"cell_44663","Visceral endoderm"
"cell_44664",NA
"cell_44665",NA
"cell_44666","Nascent mesoderm"
"cell_44667","Epiblast"
"cell_44668","Pharyngeal mesoderm"
"cell_44669","Blood progenitors 2"
"cell_44670","ExE ectoderm"
"cell_44671","Visceral endoderm"
"cell_44672","ExE endoderm"
"cell_44673","Nascent mesoderm"
"cell_44674","Mesenchyme"
"cell_44675","ExE endoderm"
"cell_44676","Blood progenitors 2"
"cell_44677","Blood progenitors 2"
"cell_44678","ExE ectoderm"
"cell_44679","Caudal epiblast"
"cell_44680","Mixed mesoderm"
"cell_44681",NA
"cell_44682","ExE endoderm"
"cell_44683",NA
"cell_44684","ExE endoderm"
"cell_44685","Nascent mesoderm"
"cell_44686","Epiblast"
"cell_44687","Rostral neurectoderm"
"cell_44688","Nascent mesoderm"
"cell_44689","ExE endoderm"
"cell_44690","Epiblast"
"cell_44691","Epiblast"
"cell_44692",NA
"cell_44693",NA
"cell_44694","Caudal epiblast"
"cell_44695","Epiblast"
"cell_44696","Mesenchyme"
"cell_44697",NA
"cell_44698",NA
"cell_44699","Rostral neurectoderm"
"cell_44700","ExE endoderm"
"cell_44701","Mesenchyme"
"cell_44702","Mesenchyme"
"cell_44703","ExE ectoderm"
"cell_44704","ExE ectoderm"
"cell_44705",NA
"cell_44706","Mesenchyme"
"cell_44707","ExE endoderm"
"cell_44708","Nascent mesoderm"
"cell_44709","ExE endoderm"
"cell_44710","Nascent mesoderm"
"cell_44711","Def. endoderm"
"cell_44712","ExE mesoderm"
"cell_44713","Visceral endoderm"
"cell_44714","Caudal epiblast"
"cell_44715","Blood progenitors 2"
"cell_44716",NA
"cell_44717","ExE ectoderm"
"cell_44718","ExE endoderm"
"cell_44719",NA
"cell_44720","ExE endoderm"
"cell_44721","Pharyngeal mesoderm"
"cell_44722","Mesenchyme"
"cell_44723","ExE endoderm"
"cell_44724","ExE ectoderm"
"cell_44725","Epiblast"
"cell_44726","Anterior Primitive Streak"
"cell_44727","ExE ectoderm"
"cell_44728","Haematoendothelial progenitors"
"cell_44729","Rostral neurectoderm"
"cell_44730",NA
"cell_44731","Nascent mesoderm"
"cell_44732","Haematoendothelial progenitors"
"cell_44733","ExE endoderm"
"cell_44734","ExE ectoderm"
"cell_44735","Paraxial mesoderm"
"cell_44736","Primitive Streak"
"cell_44737","Haematoendothelial progenitors"
"cell_44738","Rostral neurectoderm"
"cell_44739","ExE endoderm"
"cell_44740",NA
"cell_44741","Mixed mesoderm"
"cell_44742","Mixed mesoderm"
"cell_44743","Primitive Streak"
"cell_44744","ExE ectoderm"
"cell_44745","Pharyngeal mesoderm"
"cell_44746","Rostral neurectoderm"
"cell_44747","ExE mesoderm"
"cell_44748","Nascent mesoderm"
"cell_44749","Notochord"
"cell_44750","Mesenchyme"
"cell_44751","Caudal epiblast"
"cell_44752",NA
"cell_44753","ExE endoderm"
"cell_44754","Blood progenitors 2"
"cell_44755","Epiblast"
"cell_44756","Def. endoderm"
"cell_44757","Rostral neurectoderm"
"cell_44758","Epiblast"
"cell_44759",NA
"cell_44760","ExE endoderm"
"cell_44761","ExE endoderm"
"cell_44762","ExE endoderm"
"cell_44763","Primitive Streak"
"cell_44764","Primitive Streak"
"cell_44765","ExE ectoderm"
"cell_44766","Haematoendothelial progenitors"
"cell_44767","Pharyngeal mesoderm"
"cell_44768","Primitive Streak"
"cell_44769","Epiblast"
"cell_44770",NA
"cell_44771","ExE ectoderm"
"cell_44772","Nascent mesoderm"
"cell_44773","Nascent mesoderm"
"cell_44774","Pharyngeal mesoderm"
"cell_44775","Rostral neurectoderm"
"cell_44776","Def. endoderm"
"cell_44777",NA
"cell_44778",NA
"cell_44779","Caudal epiblast"
"cell_44780","Mesenchyme"
"cell_44781","ExE endoderm"
"cell_44782","Rostral neurectoderm"
"cell_44783","ExE ectoderm"
"cell_44784","ExE ectoderm"
"cell_44785","Blood progenitors 2"
"cell_44786",NA
"cell_44787","ExE endoderm"
"cell_44788",NA
"cell_44789","Anterior Primitive Streak"
"cell_44790",NA
"cell_44791","Epiblast"
"cell_44792",NA
"cell_44793","Mesenchyme"
"cell_44794","Rostral neurectoderm"
"cell_44795","Nascent mesoderm"
"cell_44796","ExE endoderm"
"cell_44797","Pharyngeal mesoderm"
"cell_44798","ExE endoderm"
"cell_44799","Epiblast"
"cell_44800","ExE endoderm"
"cell_44801","ExE endoderm"
"cell_44802","Rostral neurectoderm"
"cell_44803","Nascent mesoderm"
"cell_44804","ExE endoderm"
"cell_44805","Epiblast"
"cell_44806","ExE ectoderm"
"cell_44807","ExE ectoderm"
"cell_44808","Rostral neurectoderm"
"cell_44809","Rostral neurectoderm"
"cell_44810",NA
"cell_44811","Blood progenitors 2"
"cell_44812","ExE endoderm"
"cell_44813",NA
"cell_44814","ExE ectoderm"
"cell_44815","Mixed mesoderm"
"cell_44816","Epiblast"
"cell_44817","ExE ectoderm"
"cell_44818",NA
"cell_44819","Blood progenitors 2"
"cell_44820","Rostral neurectoderm"
"cell_44821","Mesenchyme"
"cell_44822",NA
"cell_44823","Blood progenitors 2"
"cell_44824",NA
"cell_44825","Caudal epiblast"
"cell_44826","Rostral neurectoderm"
"cell_44827","Rostral neurectoderm"
"cell_44828","Nascent mesoderm"
"cell_44829","Mixed mesoderm"
"cell_44830","Mesenchyme"
"cell_44831","Primitive Streak"
"cell_44832","ExE ectoderm"
"cell_44833",NA
"cell_44834","ExE ectoderm"
"cell_44835","Nascent mesoderm"
"cell_44836","ExE ectoderm"
"cell_44837","Nascent mesoderm"
"cell_44838",NA
"cell_44839",NA
"cell_44840","Gut"
"cell_44841","ExE endoderm"
"cell_44842","Blood progenitors 2"
"cell_44843","ExE endoderm"
"cell_44844","ExE ectoderm"
"cell_44845","Mesenchyme"
"cell_44846","Epiblast"
"cell_44847","Primitive Streak"
"cell_44848","Rostral neurectoderm"
"cell_44849","Surface ectoderm"
"cell_44850","Def. endoderm"
"cell_44851","ExE ectoderm"
"cell_44852","Blood progenitors 2"
"cell_44853","Surface ectoderm"
"cell_44854","Surface ectoderm"
"cell_44855","Rostral neurectoderm"
"cell_44856","Blood progenitors 2"
"cell_44857","ExE endoderm"
"cell_44858","Rostral neurectoderm"
"cell_44859","ExE ectoderm"
"cell_44860","ExE endoderm"
"cell_44861","Nascent mesoderm"
"cell_44862","Primitive Streak"
"cell_44863","Mesenchyme"
"cell_44864","Mesenchyme"
"cell_44865",NA
"cell_44866","ExE endoderm"
"cell_44867","Epiblast"
"cell_44868","Def. endoderm"
"cell_44869",NA
"cell_44870","ExE endoderm"
"cell_44871","Haematoendothelial progenitors"
"cell_44872","Blood progenitors 2"
"cell_44873","Anterior Primitive Streak"
"cell_44874","Epiblast"
"cell_44875","Def. endoderm"
"cell_44876","Caudal neurectoderm"
"cell_44877","Epiblast"
"cell_44878",NA
"cell_44879","Epiblast"
"cell_44880","Haematoendothelial progenitors"
"cell_44881",NA
"cell_44882","ExE ectoderm"
"cell_44883","ExE endoderm"
"cell_44884","Nascent mesoderm"
"cell_44885","ExE endoderm"
"cell_44886","ExE endoderm"
"cell_44887","Rostral neurectoderm"
"cell_44888","ExE ectoderm"
"cell_44889","Gut"
"cell_44890","Mixed mesoderm"
"cell_44891","Caudal epiblast"
"cell_44892","Primitive Streak"
"cell_44893","Rostral neurectoderm"
"cell_44894",NA
"cell_44895","Primitive Streak"
"cell_44896","ExE endoderm"
"cell_44897","Nascent mesoderm"
"cell_44898","Haematoendothelial progenitors"
"cell_44899","ExE mesoderm"
"cell_44900","ExE ectoderm"
"cell_44901","ExE ectoderm"
"cell_44902","ExE endoderm"
"cell_44903","ExE endoderm"
"cell_44904","Mixed mesoderm"
"cell_44905","ExE ectoderm"
"cell_44906","Caudal epiblast"
"cell_44907","ExE endoderm"
"cell_44908","Epiblast"
"cell_44909","Epiblast"
"cell_44910","Intermediate mesoderm"
"cell_44911","ExE ectoderm"
"cell_44912","Allantois"
"cell_44913","Rostral neurectoderm"
"cell_44914","Nascent mesoderm"
"cell_44915","Epiblast"
"cell_44916","ExE endoderm"
"cell_44917","Haematoendothelial progenitors"
"cell_44918","Nascent mesoderm"
"cell_44919",NA
"cell_44920","Nascent mesoderm"
"cell_44921","Mixed mesoderm"
"cell_44922",NA
"cell_44923","Primitive Streak"
"cell_44924","Visceral endoderm"
"cell_44925","ExE endoderm"
"cell_44926","Def. endoderm"
"cell_44927","Rostral neurectoderm"
"cell_44928",NA
"cell_44929","Caudal epiblast"
"cell_44930","Rostral neurectoderm"
"cell_44931",NA
"cell_44932","Haematoendothelial progenitors"
"cell_44933","Blood progenitors 2"
"cell_44934","ExE ectoderm"
"cell_44935","ExE ectoderm"
"cell_44936","Epiblast"
"cell_44937","Rostral neurectoderm"
"cell_44938","Mesenchyme"
"cell_44939","ExE ectoderm"
"cell_44940","ExE ectoderm"
"cell_44941","Nascent mesoderm"
"cell_44942","ExE endoderm"
"cell_44943","Paraxial mesoderm"
"cell_44944","ExE ectoderm"
"cell_44945","Haematoendothelial progenitors"
"cell_44946","Surface ectoderm"
"cell_44947","Epiblast"
"cell_44948","Caudal epiblast"
"cell_44949","Primitive Streak"
"cell_44950","ExE ectoderm"
"cell_44951","ExE ectoderm"
"cell_44952","ExE endoderm"
"cell_44953","Primitive Streak"
"cell_44954","Visceral endoderm"
"cell_44955","Primitive Streak"
"cell_44956",NA
"cell_44957","ExE endoderm"
"cell_44958",NA
"cell_44959","Rostral neurectoderm"
"cell_44960","Blood progenitors 2"
"cell_44961","ExE ectoderm"
"cell_44962","ExE ectoderm"
"cell_44963","Rostral neurectoderm"
"cell_44964","Caudal neurectoderm"
"cell_44965","Blood progenitors 2"
"cell_44966","ExE endoderm"
"cell_44967","ExE ectoderm"
"cell_44968","Epiblast"
"cell_44969","Epiblast"
"cell_44970","Intermediate mesoderm"
"cell_44971",NA
"cell_44972","Rostral neurectoderm"
"cell_44973",NA
"cell_44974",NA
"cell_44975","Caudal neurectoderm"
"cell_44976",NA
"cell_44977","Nascent mesoderm"
"cell_44978",NA
"cell_44979","Caudal Mesoderm"
"cell_44980",NA
"cell_44981","Epiblast"
"cell_44982","Nascent mesoderm"
"cell_44983",NA
"cell_44984","ExE ectoderm"
"cell_44985","Mesenchyme"
"cell_44986","Rostral neurectoderm"
"cell_44987",NA
"cell_44988","Primitive Streak"
"cell_44989",NA
"cell_44990","Caudal Mesoderm"
"cell_44991","Primitive Streak"
"cell_44992","Caudal epiblast"
"cell_44993","Caudal epiblast"
"cell_44994","Mixed mesoderm"
"cell_44995","ExE endoderm"
"cell_44996","ExE ectoderm"
"cell_44997","Nascent mesoderm"
"cell_44998","Rostral neurectoderm"
"cell_44999","Blood progenitors 1"
"cell_45000","ExE ectoderm"
"cell_45001","Caudal epiblast"
"cell_45002","Mixed mesoderm"
"cell_45003","Nascent mesoderm"
"cell_45004","ExE ectoderm"
"cell_45005","Rostral neurectoderm"
"cell_45006",NA
"cell_45007","ExE endoderm"
"cell_45008","ExE endoderm"
"cell_45009",NA
"cell_45010","ExE ectoderm"
"cell_45011","ExE endoderm"
"cell_45012","Caudal epiblast"
"cell_45013","ExE endoderm"
"cell_45014","Mixed mesoderm"
"cell_45015","Mixed mesoderm"
"cell_45016","ExE ectoderm"
"cell_45017",NA
"cell_45018","Mesenchyme"
"cell_45019","Intermediate mesoderm"
"cell_45020",NA
"cell_45021","ExE endoderm"
"cell_45022","Rostral neurectoderm"
"cell_45023","Rostral neurectoderm"
"cell_45024","ExE endoderm"
"cell_45025","Blood progenitors 2"
"cell_45026","Epiblast"
"cell_45027",NA
"cell_45028","Blood progenitors 2"
"cell_45029","ExE ectoderm"
"cell_45030","Caudal epiblast"
"cell_45031","Pharyngeal mesoderm"
"cell_45032","Primitive Streak"
"cell_45033","Haematoendothelial progenitors"
"cell_45034",NA
"cell_45035","Rostral neurectoderm"
"cell_45036",NA
"cell_45037","ExE mesoderm"
"cell_45038","ExE ectoderm"
"cell_45039","Epiblast"
"cell_45040","Rostral neurectoderm"
"cell_45041","Caudal epiblast"
"cell_45042","ExE endoderm"
"cell_45043","Anterior Primitive Streak"
"cell_45044","ExE endoderm"
"cell_45045","Nascent mesoderm"
"cell_45046","ExE ectoderm"
"cell_45047","ExE endoderm"
"cell_45048","ExE ectoderm"
"cell_45049","Epiblast"
"cell_45050","ExE ectoderm"
"cell_45051","Gut"
"cell_45052","Rostral neurectoderm"
"cell_45053","Caudal epiblast"
"cell_45054","ExE ectoderm"
"cell_45055",NA
"cell_45056",NA
"cell_45057","ExE endoderm"
"cell_45058","Rostral neurectoderm"
"cell_45059","ExE endoderm"
