"","ENSEMBL","SYMBOL"
"ENSMUSG00000031681","ENSMUSG00000031681","Smad1"
"ENSMUSG00000109945","ENSMUSG00000109945","Gm45601"
"ENSMUSG00000109774","ENSMUSG00000109774","Gm45602"
"ENSMUSG00000036990","ENSMUSG00000036990","Otud4"
"ENSMUSG00000058355","ENSMUSG00000058355","Abce1"
"ENSMUSG00000036977","ENSMUSG00000036977","Anapc10"
"ENSMUSG00000110202","ENSMUSG00000110202","Gm45435"
"ENSMUSG00000064325","ENSMUSG00000064325","Hhip"
"ENSMUSG00000109593","ENSMUSG00000109593","Gm45431"
"ENSMUSG00000110294","ENSMUSG00000110294","Gm45430"
"ENSMUSG00000051839","ENSMUSG00000051839","Gypa"
"ENSMUSG00000086912","ENSMUSG00000086912","4930505O20Rik"
"ENSMUSG00000042353","ENSMUSG00000042353","Frem3"
"ENSMUSG00000031715","ENSMUSG00000031715","Smarca5"
"ENSMUSG00000031714","ENSMUSG00000031714","Gab1"
"ENSMUSG00000109587","ENSMUSG00000109587","Gm31105"
"ENSMUSG00000098001","ENSMUSG00000098001","Gm27048"
"ENSMUSG00000038250","ENSMUSG00000038250","Usp38"
"ENSMUSG00000037982","ENSMUSG00000037982","Gm9725"
"ENSMUSG00000109980","ENSMUSG00000109980","Gm45538"
"ENSMUSG00000037940","ENSMUSG00000037940","Inpp4b"
"ENSMUSG00000110045","ENSMUSG00000110045","Gm45578"
"ENSMUSG00000031712","ENSMUSG00000031712","Il15"
"ENSMUSG00000031711","ENSMUSG00000031711","Zfp330"
"ENSMUSG00000109643","ENSMUSG00000109643","Gm45298"
"ENSMUSG00000047747","ENSMUSG00000047747","Rnf150"
"ENSMUSG00000109876","ENSMUSG00000109876","Gm45449"
"ENSMUSG00000074228","ENSMUSG00000074228","Gm10645"
"ENSMUSG00000031709","ENSMUSG00000031709","Tbc1d9"
"ENSMUSG00000031710","ENSMUSG00000031710","Ucp1"
"ENSMUSG00000035151","ENSMUSG00000035151","Elmod2"
"ENSMUSG00000035057","ENSMUSG00000035057","Mgat4d"
"ENSMUSG00000002190","ENSMUSG00000002190","Clgn"
"ENSMUSG00000063253","ENSMUSG00000063253","Scoc"
"ENSMUSG00000047286","ENSMUSG00000047286","Olfr370"
"ENSMUSG00000033938","ENSMUSG00000033938","Ndufb7"
"ENSMUSG00000031708","ENSMUSG00000031708","Tecr"
"ENSMUSG00000110580","ENSMUSG00000110580","Gm45707"
"ENSMUSG00000005483","ENSMUSG00000005483","Dnajb1"
"ENSMUSG00000019433","ENSMUSG00000019433","Gipc1"
"ENSMUSG00000057672","ENSMUSG00000057672","Pkn1"
"ENSMUSG00000019464","ENSMUSG00000019464","Ptger1"
"ENSMUSG00000005481","ENSMUSG00000005481","Ddx39"
"ENSMUSG00000002885","ENSMUSG00000002885","Adgre5"
"ENSMUSG00000096943","ENSMUSG00000096943","Gm26721"
"ENSMUSG00000013033","ENSMUSG00000013033","Adgrl1"
